,mass,vej,density,radius,H,VT,VR,VW,A,E,I,dA,dE,dI,dadt
0,3533295653840573.5,0.013466350818854573,3.0,0.6551237917313206,16.06828918386173,0.0003421609005714138,-0.0004467154392612333,-0.0007533403116471341,2.26317272169393,0.0962151269495,6.277139479422682,-0.0004473259558102267,8.967190734613597e-05,-0.010387781952957751,-0.0001184241978662673
1,3533295653840573.5,0.01235443512013658,3.0,0.6551237917313206,16.06828918386173,0.0005975047445476938,-8.902295562826641e-05,-0.0009772751319570693,2.2635861768387633,0.09626916434399982,6.274051650390982,-3.3870810977034e-05,0.00014370930184595522,-0.013475610984658328,-0.00016020216913563773
2,3533295653840573.5,0.03257610292593784,3.0,0.6551237917313206,16.06828918386173,0.00159972458597166,0.0021534454143462105,0.0030696430308695148,2.2661157276475863,0.09646562925352664,6.329854456648611,0.0024956799978462095,0.00034017421137277996,0.042327195272970734,-2.4120225993428115e-06
3,3533295653840573.5,0.009536913829966562,3.0,0.6551237917313206,16.06828918386173,-8.117441526509299e-05,-7.627344862406881e-06,0.00012531932868955323,2.2636033232082666,0.09610629894240175,6.289255285006915,-1.672444147346778e-05,-1.915609975211638e-05,0.0017280236312747356,-7.899066240467625e-05
4,3533295653840573.5,0.013421617324350292,3.0,0.6551237917313206,16.06828918386173,0.00026880970812525977,-0.00031105556236030407,0.0003541764268539274,2.2633117579037743,0.09619515975035811,6.292410987147585,-0.00030828974596586395,6.970470820425271e-05,0.004883725771945134,0.0001875072538888734
5,3533295653840573.5,0.029659742478271852,3.0,0.6551237917313206,16.06828918386173,-0.0010638569559254865,-0.0011138843966696443,-0.002252027734000749,2.2623044552937994,0.09589329897773655,6.256474133471646,-0.0013155923559406287,-0.00023215606441731276,-0.031053127903994213,0.00010345329527177635
6,3541440741522287.0,0.012505367415185714,3.0,0.6556268108396457,16.06662251719506,-0.00017671973396083494,0.001217157976457783,-0.000144982399433497,2.2649177681889188,0.09606075323927325,6.285528104382383,0.0012977205391785827,-6.470180288060511e-05,-0.0019991569932570215,1.4166057762021575e-05
7,3541440741522287.0,0.02508467568416491,3.0,0.6556268108396457,16.06662251719506,2.6162729805146167e-05,0.00019733814300065556,-0.0009275926676816412,2.2638361713899324,0.09612799639930178,6.274736720070381,0.00021612374019251175,2.5413571479105596e-06,-0.01279054130525891,-0.00016797944601199439
8,3541440741522287.0,0.01919424527808253,3.0,0.6556268108396457,16.06662251719506,-0.00027315885550907766,0.00040584947210377725,0.0022677562144202616,2.264030388682817,0.09605294934555854,6.318797268719806,0.0004103410330769636,-7.250569659531685e-05,0.031270007344166524,0.00011304360728647882
9,3541440741522287.0,0.04471907166715286,3.0,0.6556268108396457,16.06662251719506,-0.0029163611411546983,-0.0019456767620728138,0.003126376575964035,2.2612115491148352,0.0954683927437685,6.330636753423055,-0.0024084985349047475,-0.0006570622983853634,0.04310949204741471,-0.00017616306348344898
10,3549604605570272.0,0.028789752855211518,3.0,0.6561302161776061,16.064955850528396,-0.002532418984225892,-0.0013962960984705364,-0.0029221623180644913,2.261845715206833,0.09554942969100169,6.247233672247462,-0.0017743324429069732,-0.0005760253511521654,-0.040293589128178424,8.779533041013195e-06
11,3549604605570272.0,0.016300853182221065,3.0,0.6561302161776061,16.064955850528396,0.00010310171458379485,-5.9195687972976254e-05,-0.0013874215620263205,2.2635668027188203,0.09615106973486075,6.268396156295586,-5.3244930919709856e-05,2.561469270689177e-05,-0.019131105080053355,-0.00018357134521030172
12,3549604605570272.0,0.031855823900014776,3.0,0.6561302161776061,16.064955850528396,-0.00012356635448224505,-0.0016891165652657052,0.004445181833080269,2.261780617174438,0.09612756495633835,6.348821710788982,-0.001839430475301807,2.109914184492475e-06,0.06129444941334242,0.00016736222130846927
13,3549604605570272.0,0.015915784650764694,3.0,0.6561302161776061,16.064955850528396,-0.0016637084290534532,-0.000874557538541835,-0.00018041688033690754,2.2625006122541977,0.09574622999194758,6.285039499623617,-0.001119435395542199,-0.0003792250502062814,-0.0024877617520227863,-0.0001343430679596256
14,3549604605570272.0,0.010543521447060515,3.0,0.6561302161776061,16.064955850528396,0.0008804043494002789,0.0010718713679102058,0.0005571913917060964,2.26487105222452,0.09631478052352112,6.295210353058937,0.0012510045747800176,0.00018932548136725889,0.007683091683296383,0.0001634199161214841
15,3557787289268523.5,0.011086858651397627,3.0,0.6566340080417583,16.063289183861727,0.00015885972281769425,0.00023470190863246368,-0.00010296143800775429,2.2638904315519204,0.09615884708752165,6.286107529879725,0.00027038390218005653,3.3392045367789205e-05,-0.0014197314959145623,9.871699791686258e-05
16,3557787289268523.5,0.027825556979135344,3.0,0.6566340080417583,16.063289183861727,0.0012724556509296063,-0.0026281262710743628,-0.0007934431572244133,2.260910997601603,0.09647695689289693,6.27658650275449,-0.0027090500481371208,0.00035150185074305776,-0.01094075862115049,0.00017776690324603842
17,3557787289268523.5,0.02420996940807911,3.0,0.6566340080417583,16.063289183861727,-0.0019306954886314765,0.0015711263692014686,0.0007718292235753771,2.26511737383708,0.09563716754004975,6.298169986257695,0.0014973261873399571,-0.0004882875021041138,0.010642724882054566,5.956534848175395e-05
18,3557787289268523.5,0.03318040110629156,3.0,0.6566340080417583,16.063289183861727,-0.0008735646230066147,0.00032104819742444945,0.0016435266535587084,2.263875991630773,0.09591179057175005,6.3101897901784785,0.0002559439810330428,-0.00021366447040381894,0.022662528802838085,-0.0001880879161958107
19,3557787289268523.5,0.04131245753966575,3.0,0.6566340080417583,16.063289183861727,0.0014622451456253955,-0.001677616575002043,0.003023563138011207,2.261958650468984,0.0965043589454377,6.329219062694475,-0.001661397180756056,0.00037890390328383276,0.04169180131883442,0.00018918067382973715
